,1,1l,1r,1s,2,2l,2r,2s,3,3l,3r,3s,4,4l,4r,4s,id
538,7,1,2,4,4,2,1,1,5,3,1,1,6,3,1,2,rrssssl_rsll_rslll_rsslll
539,7,3,1,3,4,2,1,1,5,2,1,2,7,3,2,2,rssslll_rsll_rssll_rrsslll
540,7,1,2,4,4,1,2,1,6,2,1,3,3,1,1,1,rrssssl_rrsl_rsssll_rsl
541,7,2,2,3,4,1,1,2,6,1,2,3,4,1,2,1,rrsssll_rssl_rrsssl_rrsl
542,7,1,1,5,4,1,2,1,6,1,1,4,5,2,2,1,rsssssl_rrsl_rssssl_rrsll
543,7,1,2,4,4,2,1,1,6,2,1,3,6,1,1,4,rrssssl_rsll_rsssll_rssssl
544,7,2,2,3,4,1,1,2,6,1,2,3,7,3,2,2,rrsssll_rssl_rrsssl_rrsslll
545,7,3,2,2,4,1,1,2,7,1,2,4,3,1,1,1,rrsslll_rssl_rrssssl_rsl
546,7,3,2,2,4,2,1,1,7,2,1,4,4,2,1,1,rrsslll_rsll_rssssll_rsll
547,7,3,1,3,4,2,1,1,7,3,2,2,5,2,2,1,rssslll_rsll_rrsslll_rrsll
548,7,1,2,4,4,1,2,1,7,2,1,4,6,1,1,4,rrssssl_rrsl_rssssll_rssssl
549,7,1,2,4,4,2,1,1,7,3,1,3,7,3,2,2,rrssssl_rsll_rssslll_rrsslll
550,7,2,1,4,5,3,1,1,3,1,1,1,3,1,1,1,rssssll_rslll_rsl_rsl
551,7,2,2,3,5,2,1,2,3,1,1,1,4,1,2,1,rrsssll_rssll_rsl_rrsl
552,7,2,1,4,5,1,2,2,3,1,1,1,5,1,1,3,rssssll_rrssl_rsl_rsssl
553,7,3,2,2,5,1,2,2,3,1,1,1,6,3,1,2,rrsslll_rrssl_rsl_rsslll
554,7,2,2,3,5,2,2,1,3,1,1,1,7,2,1,4,rrsssll_rrsll_rsl_rssssll
555,7,3,2,2,5,1,2,2,4,1,1,2,3,1,1,1,rrsslll_rrssl_rssl_rsl
556,7,3,1,3,5,3,1,1,4,2,1,1,4,1,2,1,rssslll_rslll_rsll_rrsl
557,7,3,1,3,5,1,2,2,4,1,2,1,5,1,1,3,rssslll_rrssl_rrsl_rsssl
558,7,2,1,4,5,2,2,1,4,1,1,2,6,3,1,2,rssssll_rrsll_rssl_rsslll
559,7,2,2,3,5,2,2,1,4,1,1,2,7,2,1,4,rrsssll_rrsll_rssl_rssssll
560,7,3,2,2,5,2,2,1,5,1,2,2,3,1,1,1,rrsslll_rrsll_rrssl_rsl
