,1,1l,1r,1s,2,2l,2r,2s,3,3l,3r,3s,4,4l,4r,4s,id,1_2,1_3,1_4,2_1,2_3,2_4,3_1,3_2,3_4,4_1,4_2,4_3,p1,p2,p3,p4,wait0,travel0,stop0,timeloss0,speed0,wait1,travel1,stop1,timeloss1,speed1,wait2,travel2,stop2,timeloss2,speed2,wait3,travel3,stop3,timeloss3,speed3,wait4,travel4,stop4,timeloss4,speed4,time,performance measure
0,7,1,1,5,3,1,1,1,7,3,2,2,6,2,1,3,rsssssl_rsl_rrsslll_rsssll,318,955,200,78,69,202,313,173,913,425,572,204,16,30,30,30,85.23473837,145.5734012,1.395348837,100.3651017,6.718893025,71.80986419,130.2466047,1.229449607,85.35721944,6.78968475,82.64917326,142.7095615,1.394680086,97.68250899,6.725562028,74.72392638,133.0291411,1.23696319,88.16611963,6.845036073,75.57315341,134.1455966,1.242897727,89.30044034,6.834083058,4.088683367,77.99817112
0,7,1,1,5,3,1,1,1,7,3,2,2,6,2,1,3,rsssssl_rsl_rrsslll_rsssll,318,955,200,78,69,202,313,173,913,425,572,204,17,30,30,30,78.85110952,138.1159628,1.317108089,93.03978525,6.730742259,66.94781382,124.5183357,1.160084626,79.62789845,6.811547497,78.8137882,138.366027,1.31840796,93.41073205,6.689005995,71.33433735,129.2100904,1.206325301,84.36394578,6.780324343,68.95505618,126.7794944,1.179775281,81.92623596,6.844192255,3.952229261,72.98042101
0,7,1,1,5,3,1,1,1,7,3,2,2,6,2,1,3,rsssssl_rsl_rrsslll_rsssll,318,955,200,78,69,202,313,173,913,425,572,204,18,30,30,30,70.96008403,129.0357143,1.210084034,84.15404762,6.66938989,58.17986111,114.5722222,1.059722222,69.67767361,6.81684611,71.48196949,129.9944521,1.255894591,85.04259362,6.546888922,60.13111111,116.4511111,1.075555556,71.57617778,6.758951422,60.65858726,117.1101108,1.078254848,72.24590028,6.861214859,3.95258379,64.2823226
0,7,1,1,5,3,1,1,1,7,3,2,2,6,2,1,3,rsssssl_rsl_rrsslll_rsssll,318,955,200,78,69,202,313,173,913,425,572,204,19,30,30,30,68.08801109,125.974359,1.180873181,81.09273735,6.720587473,53.87260274,109.6075342,1.005479452,64.72160959,6.865529968,67.44550409,125.1035422,1.185967302,80.17860354,6.570572799,56.0407866,111.7865987,1.023306628,66.92094683,6.797102593,57.15699659,113.283959,1.028668942,68.39871672,6.875289335,3.987859726,60.52078022
0,7,1,1,5,3,1,1,1,7,3,2,2,6,2,1,3,rsssssl_rsl_rrsslll_rsssll,318,955,200,78,69,202,313,173,913,425,572,204,20,30,30,30,55.38253216,111.3852404,1.02098849,66.55508463,6.882363799,45.00336022,99.75,0.912634409,54.85067876,7.187194335,58.34177215,114.4950033,1.047301799,69.57161226,6.699044762,45.7609476,100.4386217,0.910983489,55.59109835,7.163045004,48.77254374,103.8371467,0.943472409,58.95274563,6.972103839,3.980235338,50.65223117
0,7,1,1,5,3,1,1,1,7,3,2,2,6,2,1,3,rsssssl_rsl_rrsslll_rsssll,318,955,200,78,69,202,313,173,913,425,572,204,21,30,30,30,53.08550434,108.8102872,0.987975952,63.94656647,6.877949245,43.05819398,97.62675585,0.885618729,52.70826756,7.240088844,52.15445545,107.5768977,0.986138614,62.70182178,6.831005228,43.97075606,98.38159772,0.878031384,53.51807418,7.211382766,46.30046948,100.9865862,0.912810195,56.10632461,7.059624699,3.544690847,47.71387586
0,7,1,1,5,3,1,1,1,7,3,2,2,6,2,1,3,rsssssl_rsl_rrsslll_rsssll,318,955,200,78,69,202,313,173,913,425,572,204,22,30,30,30,45.67854785,100.7293729,0.915511551,55.87730693,7.148852132,40.29920213,94.52393617,0.855053191,49.60774601,7.302402733,47.4024788,102.5192433,0.924331376,57.64260274,6.953887558,43.56920904,97.96045198,0.882768362,53.1000565,7.137325037,43.26644518,97.66511628,0.875083056,52.78119601,7.120082428,3.656619787,44.0431766
0,7,1,1,5,3,1,1,1,7,3,2,2,6,2,1,3,rsssssl_rsl_rrsslll_rsssll,318,955,200,78,69,202,313,173,913,425,572,204,23,30,30,30,44.18390805,98.75929682,0.886409736,53.92685598,7.217049528,39.68602296,93.78730587,0.838622552,48.86291695,7.348028932,43.90981432,98.52055703,0.877984085,53.64431698,7.165103122,42.17668097,96.30042918,0.856938484,51.43152361,7.185759296,41.02424242,95.12188552,0.846464646,50.23923232,7.172362112,3.484639406,42.19613374
0,7,1,1,5,3,1,1,1,7,3,2,2,6,2,1,3,rsssssl_rsl_rrsslll_rsssll,318,955,200,78,69,202,313,173,913,425,572,204,24,30,30,30,40.80257802,95.03052917,0.843962008,50.17976934,7.295504419,38.77152542,92.70169492,0.814237288,47.79926102,7.38554354,40.96883289,95.17440318,0.830901857,50.26974138,7.329601108,41.17243867,95.21572872,0.856421356,50.36212843,7.193925316,37.62668464,91.46495957,0.806603774,46.59315364,7.381179284,3.799447536,39.86841193
0,7,1,1,5,3,1,1,1,7,3,2,2,6,2,1,3,rsssssl_rsl_rrsslll_rsssll,318,955,200,78,69,202,313,173,913,425,572,204,25,30,30,30,39.79674797,93.79471545,0.829945799,48.94308943,7.306331015,38.48571429,92.46122449,0.818367347,47.53104082,7.36027207,40.72148541,94.90450928,0.840848806,50.01950928,7.257005778,39.63252149,93.47421203,0.830945559,48.61323066,7.252803987,36.86856369,90.62127371,0.81504065,45.73761518,7.421680327,3.516856909,39.10100657
